zone,model,feature,importance,importance_pct
NEC,XGBoost,day_of_week,0.004157074727118015,0.41570742315561493
NEC,XGBoost,is_tou,0.004029672127217054,0.402967164684276
NEC,XGBoost,RelativeHumidity_W,0.003932596649974585,0.39325961811725874
NEC,XGBoost,quarter,0.003887734841555357,0.38877343781013035
NEC,XGBoost,dayofweek_auto,0.0038053523749113083,0.38053519212780096
NEC,XGBoost,DayOfWeek,0.0032286609057337046,0.3228660520847378
NEC,XGBoost,minute,0.002777982736006379,0.277798240484507
NEC,XGBoost,REQ_LAST168H_diff_1,0.0024508521892130375,0.2450851897048724
NEC,XGBoost,day_auto,0.002202823292464018,0.22028230298670493
NEC,XGBoost,CloudCover_W,0.0021147113293409348,0.21147110772477296
NEC,XGBoost,holiday,0.002020384883508086,0.20203846426594682
NEC,XGBoost,day,0.0019948380067944527,0.19948377689912594
NEC,XGBoost,REQ_LAST168H_roll_mean_6,0.001815171679481864,0.18151714630965635
NEC,XGBoost,REQ_LAST168H_pct_change_1,0.0015562254702672362,0.15562252847507257
NEC,XGBoost,PEAK_OFFPEAK_NUMERIC,0.0014876564964652061,0.14876563191227532
NEC,XGBoost,is_Saturday,0.0010388650698587298,0.10388649460163776
NEC,XGBoost,reg,0.0,0.0
NEC,LightGBM,Temp_W,1002.0,11.133333333333335
NEC,LightGBM,REQUIREMENT_LAG_3D,619.0,6.877777777777777
NEC,LightGBM,hour,613.0,6.811111111111111
NEC,LightGBM,day,579.0,6.433333333333334
NEC,LightGBM,month,476.0,5.288888888888889
NEC,LightGBM,RealFeel_W,446.0,4.955555555555556
NEC,LightGBM,WetBulb_W,433.0,4.811111111111111
NEC,LightGBM,TIME_SLOT,407.0,4.522222222222222
NEC,LightGBM,year,393.0,4.366666666666666
NEC,LightGBM,UVIndex_W,374.0,4.155555555555555
NEC,LightGBM,DewPoint_W,368.0,4.0888888888888895
NEC,LightGBM,REQ_LAST336H,365.0,4.055555555555555
NEC,LightGBM,REQ_LAST168H_roll_mean_6,249.0,2.7666666666666666
NEC,LightGBM,RelativeHumidity_W,249.0,2.7666666666666666
NEC,LightGBM,REQ_LAST168H,187.0,2.0777777777777775
NEC,LightGBM,REQ_LAST504H,183.0,2.033333333333333
NEC,LightGBM,REQ_LAST672H,177.0,1.9666666666666666
NEC,LightGBM,IsDaylight_W,160.0,1.7777777777777777
NEC,LightGBM,day_of_week,159.0,1.7666666666666668
NEC,LightGBM,CloudCover_W,154.0,1.7111111111111112
NEC,LightGBM,DayOfWeek,144.0,1.6
NEC,LightGBM,peakmonth,128.0,1.4222222222222223
NEC,LightGBM,REQ_LAST168H_roll_std_6,125.0,1.3888888888888888
NEC,LightGBM,long_holiday,112.0,1.2444444444444445
NEC,LightGBM,is_Sunday,95.0,1.0555555555555556
NEC,LightGBM,REQ_LAST168H_roll_mean_3,89.0,0.9888888888888888
NEC,LightGBM,REQ_LAST168H_diff_1,84.0,0.9333333333333335
NEC,LightGBM,is_tou,66.0,0.7333333333333333
NEC,LightGBM,is_post_holiday,63.0,0.7000000000000001
NEC,LightGBM,year_auto,60.0,0.6666666666666667
NEC,LightGBM,is_weekend,58.0,0.6444444444444445
NEC,LightGBM,day_auto,49.0,0.5444444444444444
NEC,LightGBM,REQ_LAST168H_pct_change_1,47.0,0.5222222222222221
NEC,LightGBM,minute,44.0,0.4888888888888889
NEC,LightGBM,month_auto,43.0,0.47777777777777775
NEC,LightGBM,hour_auto,39.0,0.4333333333333333
NEC,LightGBM,PEAK_OFFPEAK_NUMERIC,38.0,0.42222222222222217
NEC,LightGBM,is_holiday,37.0,0.41111111111111115
NEC,LightGBM,holiday,31.0,0.34444444444444444
NEC,LightGBM,is_Saturday,23.0,0.2555555555555556
NEC,LightGBM,quarter,14.0,0.15555555555555556
NEC,LightGBM,dayofweek_auto,11.0,0.12222222222222222
NEC,LightGBM,is_pre_holiday,7.0,0.07777777777777778
NEC,LightGBM,reg,0.0,0.0
SAC,XGBoost,REQ_LAST168H,0.4470324218273163,44.70323685369052
SAC,XGBoost,REQUIREMENT_LAG_3D,0.2328256368637085,23.282560910873304
SAC,XGBoost,REQ_LAST336H,0.06479565799236298,6.479565026811954
SAC,XGBoost,REQ_LAST504H,0.02779201604425907,2.779201273119298
SAC,XGBoost,REQ_LAST672H,0.027423610910773277,2.7423607641624494
SAC,XGBoost,is_post_holiday,0.016741452738642693,1.6741450742906245
SAC,XGBoost,is_pre_holiday,0.013284620828926563,1.328461924527654
SAC,XGBoost,long_holiday,0.01185134518891573,1.1851343776125458
SAC,XGBoost,is_holiday,0.009444184601306915,0.9444183475472512
SAC,XGBoost,IsDaylight_W,0.009384548291563988,0.9384547172838786
SAC,XGBoost,RealFeel_W,0.009313887916505337,0.9313886806203507
SAC,XGBoost,is_Sunday,0.008366797119379044,0.8366796121979223
SAC,XGBoost,CloudCover_W,0.008164349012076855,0.8164348038810726
SAC,XGBoost,Temp_W,0.007884735241532326,0.7884734301598753
SAC,XGBoost,REQ_LAST168H_roll_mean_3,0.007858616299927235,0.785861536310728
SAC,XGBoost,minute,0.007701031863689423,0.7701030945654994
SAC,XGBoost,holiday,0.006220210809260607,0.6220210067753784
SAC,XGBoost,hour,0.006001628004014492,0.6001627288564767
SAC,XGBoost,month,0.005997151136398315,0.5997150421482275
SAC,XGBoost,year,0.0050767092034220695,0.5076708598231244
SAC,XGBoost,year_auto,0.0050746784545481205,0.5074677849599379
SAC,XGBoost,hour_auto,0.004879938904196024,0.48799383224620435
SAC,XGBoost,UVIndex_W,0.004873431287705898,0.4873430706747686
SAC,XGBoost,quarter,0.004751509055495262,0.4751508489071311
SAC,XGBoost,TIME_SLOT,0.004123765975236893,0.41237654836457394
SAC,XGBoost,month_auto,0.004029073752462864,0.40290732721599015
SAC,XGBoost,is_tou,0.0033912661019712687,0.3391265697700894
SAC,XGBoost,day_of_week,0.003202407853677869,0.3202407471921149
SAC,XGBoost,RelativeHumidity_W,0.003109454410150647,0.31094540394748404
SAC,XGBoost,DewPoint_W,0.003088789526373148,0.3088789158160787
SAC,XGBoost,dayofweek_auto,0.002956510055810213,0.2956509703366792
SAC,XGBoost,day_auto,0.002700639422982931,0.27006391010416625
SAC,XGBoost,DayOfWeek,0.0026486061979085207,0.26486058821700953
SAC,XGBoost,day,0.0026066573336720467,0.26066570229343144
SAC,XGBoost,WetBulb_W,0.002524295123293996,0.25242948223746037
SAC,XGBoost,peakmonth,0.002428022911772132,0.24280226223292803
SAC,XGBoost,is_Saturday,0.002062713261693716,0.2062713015799163
SAC,XGBoost,REQ_LAST168H_roll_mean_6,0.0017644892213866115,0.17644890110431302
SAC,XGBoost,REQ_LAST168H_pct_change_1,0.0016767799388617277,0.16767797389740063
SAC,XGBoost,is_weekend,0.001638050191104412,0.1638049995833636
SAC,XGBoost,PEAK_OFFPEAK_NUMERIC,0.0013121577212587,0.13121575648373288
SAC,XGBoost,REQ_LAST168H_diff_1,0.0010963708627969027,0.10963707320993266
SAC,XGBoost,REQ_LAST168H_roll_std_6,0.0008997991099022329,0.0899799002637833
SAC,XGBoost,reg,0.0,0.0
SAC,LightGBM,day,1012.0,11.244444444444444
SAC,LightGBM,month,875.0,9.722222222222223
SAC,LightGBM,RealFeel_W,690.0,7.666666666666666
SAC,LightGBM,year,504.0,5.6000000000000005
SAC,LightGBM,REQUIREMENT_LAG_3D,499.0,5.544444444444444
SAC,LightGBM,hour,465.0,5.166666666666667
SAC,LightGBM,DewPoint_W,406.0,4.511111111111111
SAC,LightGBM,TIME_SLOT,377.0,4.188888888888889
SAC,LightGBM,CloudCover_W,281.0,3.1222222222222222
SAC,LightGBM,REQ_LAST336H,276.0,3.0666666666666664
SAC,LightGBM,Temp_W,275.0,3.0555555555555554
SAC,LightGBM,REQ_LAST672H,271.0,3.011111111111111
SAC,LightGBM,REQ_LAST168H_roll_mean_6,255.0,2.833333333333333
SAC,LightGBM,REQ_LAST168H,242.0,2.688888888888889
SAC,LightGBM,WetBulb_W,223.0,2.477777777777778
SAC,LightGBM,RelativeHumidity_W,212.0,2.3555555555555556
SAC,LightGBM,DayOfWeek,201.0,2.2333333333333334
SAC,LightGBM,REQ_LAST504H,193.0,2.1444444444444444
